Date,Stock,Price
2014-11-28,AAPL,118.93
2014-11-28,GOOGL,549.080017
2014-12-01,GOOGL,539.650024
2014-12-01,MSFT,48.619999
2014-12-01,AAPL,115.07
2014-12-01,FB,75.099998
2014-12-01,AMZN,326.0
2014-12-02,MSFT,48.459999
2014-12-02,FB,75.459999
2014-12-02,GOOGL,538.590027
2014-12-02,AMZN,326.309998
2014-12-02,AAPL,114.629997
2014-12-03,AMZN,316.5
2014-12-03,GOOGL,536.969971
2014-12-03,MSFT,48.080002
2014-12-03,AAPL,115.93
2014-12-03,FB,74.879997
2014-12-04,MSFT,48.84
2014-12-04,FB,75.239998
2014-12-04,AAPL,115.489998
2014-12-04,GOOGL,542.580017
2014-12-04,AMZN,316.929993
2014-12-05,AAPL,115.0
2014-12-05,GOOGL,528.080017
2014-12-05,FB,76.360001
2014-12-05,AMZN,312.630005
2014-12-05,MSFT,48.419998
2014-12-08,AMZN,306.640015
2014-12-08,GOOGL,530.72998
2014-12-08,MSFT,47.700001
2014-12-08,FB,76.519997
2014-12-08,AAPL,112.400002
2014-12-09,FB,76.839996
2014-12-09,MSFT,47.59
2014-12-09,AAPL,114.120003
2014-12-09,GOOGL,536.1099849999998
2014-12-09,AMZN,312.5
2014-12-10,AAPL,111.949997
2014-12-10,FB,76.18
2014-12-10,MSFT,46.900002
2014-12-10,GOOGL,528.039978
2014-12-10,AMZN,305.839996
2014-12-11,MSFT,47.169998
2014-12-11,AAPL,111.620003
2014-12-11,GOOGL,532.1099849999998
2014-12-11,FB,77.730003
2014-12-11,AMZN,307.359985
2014-12-12,AMZN,307.320007
2014-12-12,MSFT,46.950001
2014-12-12,AAPL,109.730003
2014-12-12,FB,77.83000200000002
2014-12-12,GOOGL,521.51001
2014-12-15,FB,76.989998
2014-12-15,AAPL,108.230003
2014-12-15,AMZN,306.070007
2014-12-15,MSFT,46.669998
2014-12-15,GOOGL,515.840027
2014-12-16,MSFT,45.16
2014-12-16,AAPL,106.75
2014-12-16,AMZN,295.059998
2014-12-16,GOOGL,498.160004
2014-12-16,FB,74.690002
2014-12-17,AAPL,109.410004
2014-12-17,GOOGL,506.450012
2014-12-17,FB,76.110001
2014-12-17,MSFT,45.740002
2014-12-17,AMZN,298.880005
2014-12-18,AAPL,112.650002
2014-12-18,MSFT,47.52
2014-12-18,AMZN,297.730011
2014-12-18,GOOGL,514.619995
2014-12-18,FB,78.400002
2014-12-19,FB,79.879997
2014-12-19,GOOGL,520.039978
2014-12-19,AAPL,111.779999
2014-12-19,MSFT,47.66
2014-12-19,AMZN,299.899994
2014-12-22,GOOGL,532.299988
2014-12-22,AMZN,306.540009
2014-12-22,AAPL,112.940002
2014-12-22,FB,81.449997
2014-12-22,MSFT,47.98
2014-12-23,FB,80.610001
2014-12-23,GOOGL,538.77002
2014-12-23,MSFT,48.450001
2014-12-23,AMZN,306.290009
2014-12-23,AAPL,112.540001
2014-12-24,FB,80.769997
2014-12-24,AMZN,303.0299990000001
2014-12-24,GOOGL,536.929993
2014-12-24,MSFT,48.139999
2014-12-24,AAPL,112.010002
2014-12-26,AAPL,113.989998
2014-12-26,AMZN,309.089996
2014-12-26,GOOGL,541.52002
2014-12-26,MSFT,47.880001
2014-12-26,FB,80.779999
2014-12-29,AMZN,312.040009
2014-12-29,FB,80.019997
2014-12-29,AAPL,113.910004
2014-12-29,MSFT,47.450001
2014-12-29,GOOGL,537.3099980000002
2014-12-30,AMZN,310.299988
2014-12-30,GOOGL,535.280029
2014-12-30,FB,79.220001
2014-12-30,AAPL,112.519997
2014-12-30,MSFT,47.02
2014-12-31,AMZN,310.350006
2014-12-31,GOOGL,530.659973
2014-12-31,FB,78.019997
2014-12-31,MSFT,46.450001
2014-12-31,AAPL,110.379997
2015-01-02,FB,78.449997
2015-01-02,MSFT,46.759998
2015-01-02,AAPL,109.330002
2015-01-02,GOOGL,529.549988
2015-01-02,AMZN,308.519989
2015-01-05,FB,77.190002
2015-01-05,MSFT,46.330002
2015-01-05,AAPL,106.25
2015-01-05,GOOGL,519.460022
2015-01-05,AMZN,302.190002
2015-01-06,AAPL,106.260002
2015-01-06,MSFT,45.650002
2015-01-06,GOOGL,506.64001500000006
2015-01-06,FB,76.150002
2015-01-06,AMZN,295.290009
2015-01-07,AMZN,298.420013
2015-01-07,GOOGL,505.14999400000005
2015-01-07,AAPL,107.75
2015-01-07,FB,76.150002
2015-01-07,MSFT,46.23
2015-01-08,GOOGL,506.910004
2015-01-08,MSFT,47.59
2015-01-08,AAPL,111.889999
2015-01-08,AMZN,300.459991
2015-01-08,FB,78.18
2015-01-09,MSFT,47.189999
2015-01-09,AAPL,112.010002
2015-01-09,AMZN,296.929993
2015-01-09,FB,77.739998
2015-01-09,GOOGL,500.720001
2015-01-12,MSFT,46.599998
2015-01-12,AAPL,109.25
2015-01-12,AMZN,291.410004
2015-01-12,GOOGL,497.05999800000006
2015-01-12,FB,76.720001
2015-01-13,AAPL,110.220001
2015-01-13,MSFT,46.360001
2015-01-13,GOOGL,501.799988
2015-01-13,AMZN,294.73999
2015-01-13,FB,76.449997
2015-01-14,FB,76.279999
2015-01-14,AAPL,109.800003
2015-01-14,GOOGL,505.929993
2015-01-14,MSFT,45.959999
2015-01-14,AMZN,293.269989
2015-01-15,FB,74.050003
2015-01-15,AAPL,106.82
2015-01-15,MSFT,45.48
2015-01-15,GOOGL,504.01001
2015-01-15,AMZN,286.950012
2015-01-16,AAPL,105.989998
2015-01-16,AMZN,290.73999
2015-01-16,GOOGL,510.459991
2015-01-16,FB,75.18
2015-01-16,MSFT,46.240002
2015-01-20,GOOGL,509.940002
2015-01-20,MSFT,46.389999
2015-01-20,FB,76.239998
2015-01-20,AAPL,108.720001
2015-01-20,AMZN,289.440002
2015-01-21,GOOGL,520.3900150000002
2015-01-21,AAPL,109.550003
2015-01-21,AMZN,297.25
2015-01-21,FB,76.739998
2015-01-21,MSFT,45.919998
2015-01-22,GOOGL,537.299988
2015-01-22,FB,77.650002
2015-01-22,AMZN,310.320007
2015-01-22,AAPL,112.400002
2015-01-22,MSFT,47.130001
2015-01-23,MSFT,47.18
2015-01-23,GOOGL,541.950012
2015-01-23,FB,77.83000200000002
2015-01-23,AAPL,112.980003
2015-01-23,AMZN,312.390015
2015-01-26,AAPL,113.099998
2015-01-26,AMZN,309.660004
2015-01-26,MSFT,47.009998
2015-01-26,GOOGL,536.719971
2015-01-26,FB,77.5
2015-01-27,GOOGL,521.1900019999998
2015-01-27,AAPL,109.139999
2015-01-27,AMZN,306.75
2015-01-27,FB,75.779999
2015-01-27,MSFT,42.66
2015-01-28,AMZN,303.910004
2015-01-28,FB,76.239998
2015-01-28,GOOGL,512.429993
2015-01-28,MSFT,41.189999
2015-01-28,AAPL,115.309998
2015-01-29,GOOGL,513.22998
2015-01-29,AAPL,118.900002
2015-01-29,FB,78.0
2015-01-29,MSFT,42.009998
2015-01-29,AMZN,311.7799990000001
2015-01-30,MSFT,40.400002
2015-01-30,AMZN,354.5299990000001
2015-01-30,FB,75.910004
2015-01-30,GOOGL,537.549988
2015-01-30,AAPL,117.160004
2015-02-02,MSFT,41.279999
2015-02-02,GOOGL,532.200012
2015-02-02,AAPL,118.629997
2015-02-02,AMZN,364.470001
2015-02-02,FB,74.989998
2015-02-03,GOOGL,533.299988
2015-02-03,MSFT,41.599998
2015-02-03,AAPL,118.650002
2015-02-03,AMZN,363.549988
2015-02-03,FB,75.400002
2015-02-04,AAPL,119.559998
2015-02-04,MSFT,41.84
2015-02-04,AMZN,364.75
2015-02-04,GOOGL,526.099976
2015-02-04,FB,75.629997
2015-02-05,AMZN,373.890015
2015-02-05,GOOGL,529.830017
2015-02-05,MSFT,42.450001
2015-02-05,FB,75.610001
2015-02-05,AAPL,119.940002
2015-02-06,AMZN,374.279999
2015-02-06,MSFT,42.41
2015-02-06,FB,74.470001
2015-02-06,AAPL,118.93
2015-02-06,GOOGL,533.880005
2015-02-09,AMZN,370.559998
2015-02-09,FB,74.440002
2015-02-09,AAPL,119.720001
2015-02-09,GOOGL,529.280029
2015-02-09,MSFT,42.360001
2015-02-10,AAPL,122.019997
2015-02-10,GOOGL,540.159973
2015-02-10,AMZN,373.0
2015-02-10,FB,75.190002
2015-02-10,MSFT,42.599998
2015-02-11,AMZN,375.140015
2015-02-11,GOOGL,538.0
2015-02-11,FB,76.510002
2015-02-11,MSFT,42.380001
2015-02-11,AAPL,124.879997
2015-02-12,GOOGL,546.01001
2015-02-12,AMZN,377.170013
2015-02-12,FB,76.230003
2015-02-12,MSFT,43.09
2015-02-12,AAPL,126.459999
2015-02-13,AMZN,381.829987
2015-02-13,MSFT,43.869999
2015-02-13,FB,75.739998
2015-02-13,AAPL,127.080002
2015-02-13,GOOGL,551.159973
2015-02-17,AAPL,127.830002
2015-02-17,MSFT,43.580002
2015-02-17,AMZN,375.429993
2015-02-17,FB,75.599998
2015-02-17,GOOGL,545.01001
2015-02-18,GOOGL,542.650024
2015-02-18,MSFT,43.529999
2015-02-18,AAPL,128.720001
2015-02-18,FB,76.709999
2015-02-18,AMZN,373.369995
2015-02-19,FB,79.41999799999998
2015-02-19,GOOGL,546.450012
2015-02-19,MSFT,43.5
2015-02-19,AAPL,128.449997
2015-02-19,AMZN,379.0
2015-02-20,AMZN,383.660004
2015-02-20,FB,79.900002
2015-02-20,AAPL,129.5
2015-02-20,GOOGL,541.799988
2015-02-20,MSFT,43.860001
2015-02-23,AAPL,133.0
2015-02-23,FB,78.839996
2015-02-23,GOOGL,535.0
2015-02-23,MSFT,44.150002
2015-02-23,AMZN,380.140015
2015-02-24,GOOGL,538.650024
2015-02-24,AAPL,132.169998
2015-02-24,FB,78.449997
2015-02-24,MSFT,44.09
2015-02-24,AMZN,378.589996
2015-02-25,AAPL,128.78999299999998
2015-02-25,FB,79.559998
2015-02-25,MSFT,43.990002
2015-02-25,GOOGL,547.330017
2015-02-25,AMZN,385.369995
2015-02-26,GOOGL,559.289978
2015-02-26,FB,80.410004
2015-02-26,AAPL,130.419998
2015-02-26,MSFT,44.060001
2015-02-26,AMZN,384.799988
2015-02-27,FB,78.970001
2015-02-27,MSFT,43.849998
2015-02-27,AMZN,380.160004
2015-02-27,GOOGL,562.630005
2015-02-27,AAPL,128.46000700000002
2015-03-02,GOOGL,575.02002
2015-03-02,AMZN,385.660004
2015-03-02,FB,79.75
2015-03-02,AAPL,129.089996
2015-03-02,MSFT,43.880001
2015-03-03,GOOGL,578.789978
2015-03-03,AMZN,384.609985
2015-03-03,FB,79.599998
2015-03-03,AAPL,129.360001
2015-03-03,MSFT,43.279999
2015-03-04,GOOGL,578.330017
2015-03-04,FB,80.900002
2015-03-04,MSFT,43.060001
2015-03-04,AAPL,128.53999299999998
2015-03-04,AMZN,382.720001
2015-03-05,MSFT,43.110001
2015-03-05,FB,81.209999
2015-03-05,AMZN,387.829987
2015-03-05,AAPL,126.410004
2015-03-05,GOOGL,581.429993
2015-03-06,MSFT,42.360001
2015-03-06,AAPL,126.599998
2015-03-06,FB,80.010002
2015-03-06,AMZN,380.089996
2015-03-06,GOOGL,572.900024
2015-03-09,MSFT,42.849998
2015-03-09,FB,79.440002
2015-03-09,AAPL,127.139999
2015-03-09,AMZN,378.559998
2015-03-09,GOOGL,574.099976
2015-03-10,GOOGL,559.849976
2015-03-10,AMZN,369.51001
2015-03-10,MSFT,42.029999
2015-03-10,FB,77.550003
2015-03-10,AAPL,124.510002
2015-03-11,GOOGL,555.6900019999998
2015-03-11,AMZN,366.369995
2015-03-11,MSFT,41.98
2015-03-11,FB,77.57
2015-03-11,AAPL,122.239998
2015-03-12,AMZN,374.23999
2015-03-12,MSFT,41.02
2015-03-12,AAPL,124.449997
2015-03-12,FB,78.93
2015-03-12,GOOGL,561.169983
2015-03-13,GOOGL,553.0
2015-03-13,MSFT,41.380001
2015-03-13,AMZN,370.579987
2015-03-13,FB,78.050003
2015-03-13,AAPL,123.589996
2015-03-16,AAPL,124.949997
2015-03-16,GOOGL,561.6400150000002
2015-03-16,AMZN,373.350006
2015-03-16,MSFT,41.560001
2015-03-16,FB,78.07
2015-03-17,MSFT,41.700001
2015-03-17,AAPL,127.040001
2015-03-17,AMZN,371.920013
2015-03-17,GOOGL,557.6099849999998
2015-03-17,FB,79.360001
2015-03-18,GOOGL,566.159973
2015-03-18,AMZN,375.140015
2015-03-18,MSFT,42.5
2015-03-18,FB,80.910004
2015-03-18,AAPL,128.470001
2015-03-19,MSFT,42.290001
2015-03-19,AMZN,373.23999
2015-03-19,AAPL,127.5
2015-03-19,GOOGL,563.669983
2015-03-19,FB,82.75
2015-03-20,AMZN,378.48999
2015-03-20,GOOGL,564.950012
2015-03-20,MSFT,42.880001
2015-03-20,AAPL,125.900002
2015-03-20,FB,83.800003
2015-03-23,GOOGL,565.369995
2015-03-23,MSFT,42.860001
2015-03-23,AAPL,127.209999
2015-03-23,AMZN,375.109985
2015-03-23,FB,84.43
2015-03-24,FB,85.309998
2015-03-24,GOOGL,577.539978
2015-03-24,AAPL,126.690002
2015-03-24,MSFT,42.900002
2015-03-24,AMZN,374.089996
2015-03-25,FB,82.91999799999998
2015-03-25,AMZN,370.959991
2015-03-25,GOOGL,567.0
2015-03-25,AAPL,123.379997
2015-03-25,MSFT,41.459999
2015-03-26,FB,83.010002
2015-03-26,AAPL,124.239998
2015-03-26,MSFT,41.209999
2015-03-26,AMZN,367.350006
2015-03-26,GOOGL,563.6400150000002
2015-03-27,GOOGL,557.549988
2015-03-27,FB,83.300003
2015-03-27,AAPL,123.25
2015-03-27,AMZN,370.559998
2015-03-27,MSFT,40.970001
2015-03-30,FB,83.199997
2015-03-30,AMZN,374.589996
2015-03-30,MSFT,40.959999
2015-03-30,GOOGL,561.1400150000002
2015-03-30,AAPL,126.370003
2015-03-31,MSFT,40.66
2015-03-31,GOOGL,554.700012
2015-03-31,FB,82.220001
2015-03-31,AAPL,124.43
2015-03-31,AMZN,372.100006
2015-04-01,FB,81.66999799999998
2015-04-01,AAPL,124.25
2015-04-01,AMZN,370.26001
2015-04-01,GOOGL,549.48999
2015-04-01,MSFT,40.720001
2015-04-02,GOOGL,541.3099980000002
2015-04-02,AMZN,372.25
2015-04-02,FB,81.559998
2015-04-02,AAPL,125.32
2015-04-02,MSFT,40.290001
2015-04-06,AMZN,377.040009
2015-04-06,GOOGL,543.950012
2015-04-06,FB,82.440002
2015-04-06,MSFT,41.549999
2015-04-06,AAPL,127.349998
2015-04-07,GOOGL,544.8599849999998
2015-04-07,AMZN,374.410004
2015-04-07,FB,82.32
2015-04-07,MSFT,41.529999
2015-04-07,AAPL,126.010002
2015-04-08,AMZN,381.200012
2015-04-08,MSFT,41.419998
2015-04-08,FB,82.279999
2015-04-08,AAPL,125.599998
2015-04-08,GOOGL,548.840027
2015-04-09,MSFT,41.48
2015-04-09,GOOGL,548.02002
2015-04-09,AMZN,383.540009
2015-04-09,FB,82.16999799999998
2015-04-09,AAPL,126.559998
2015-04-10,AAPL,127.099998
2015-04-10,AMZN,382.649994
2015-04-10,FB,82.040001
2015-04-10,MSFT,41.720001
2015-04-10,GOOGL,548.539978
2015-04-13,AMZN,382.359985
2015-04-13,GOOGL,548.6400150000002
2015-04-13,MSFT,41.759998
2015-04-13,FB,83.010002
2015-04-13,AAPL,126.849998
2015-04-14,AMZN,385.109985
2015-04-14,GOOGL,539.780029
2015-04-14,FB,83.519997
2015-04-14,AAPL,126.300003
2015-04-14,MSFT,41.650002
2015-04-15,AAPL,126.779999
2015-04-15,AMZN,383.450012
2015-04-15,MSFT,42.259998
2015-04-15,GOOGL,541.039978
2015-04-15,FB,82.709999
2015-04-16,MSFT,42.16
2015-04-16,GOOGL,543.52002
2015-04-16,FB,82.309998
2015-04-16,AMZN,386.040009
2015-04-16,AAPL,126.169998
2015-04-17,AMZN,375.559998
2015-04-17,MSFT,41.619999
2015-04-17,AAPL,124.75
2015-04-17,GOOGL,532.73999
2015-04-17,FB,80.779999
2015-04-20,AMZN,389.51001
2015-04-20,MSFT,42.91
2015-04-20,GOOGL,544.530029
2015-04-20,FB,83.089996
2015-04-20,AAPL,127.599998
2015-04-21,AAPL,126.910004
2015-04-21,AMZN,391.179993
2015-04-21,MSFT,42.639999
2015-04-21,GOOGL,542.919983
2015-04-21,FB,83.620003
2015-04-22,AAPL,128.619995
2015-04-22,FB,84.629997
2015-04-22,AMZN,389.799988
2015-04-22,MSFT,42.990002
2015-04-22,GOOGL,549.179993
2015-04-23,MSFT,43.34
2015-04-23,AAPL,129.669998
2015-04-23,GOOGL,557.460022
2015-04-23,FB,82.410004
2015-04-23,AMZN,389.98999
2015-04-24,FB,81.529999
2015-04-24,AAPL,130.279999
2015-04-24,GOOGL,573.659973
2015-04-24,AMZN,445.100006
2015-04-24,MSFT,47.869999
2015-04-27,FB,81.910004
2015-04-27,AAPL,132.649994
2015-04-27,AMZN,438.55999800000006
2015-04-27,GOOGL,566.119995
2015-04-27,MSFT,48.029999
2015-04-28,AAPL,130.559998
2015-04-28,MSFT,49.16
2015-04-28,AMZN,429.30999800000006
2015-04-28,FB,80.68
2015-04-28,GOOGL,564.369995
2015-04-29,AMZN,429.369995
2015-04-29,MSFT,49.060001
2015-04-29,GOOGL,561.3900150000002
2015-04-29,FB,80.470001
2015-04-29,AAPL,128.639999
2015-04-30,GOOGL,548.77002
2015-04-30,AAPL,125.150002
2015-04-30,AMZN,421.779999
2015-04-30,MSFT,48.639999
2015-04-30,FB,78.769997
2015-05-01,GOOGL,551.159973
2015-05-01,AAPL,128.949997
2015-05-01,MSFT,48.66
2015-05-01,AMZN,422.869995
2015-05-01,FB,78.989998
2015-05-04,AMZN,423.040009
2015-05-04,AAPL,128.699997
2015-05-04,GOOGL,552.840027
2015-05-04,FB,78.809998
2015-05-04,MSFT,48.240002
2015-05-05,AAPL,125.800003
2015-05-05,AMZN,421.190002
2015-05-05,MSFT,47.599998
2015-05-05,FB,77.559998
2015-05-05,GOOGL,543.039978
2015-05-06,GOOGL,535.080017
2015-05-06,AMZN,419.100006
2015-05-06,AAPL,125.010002
2015-05-06,FB,78.099998
2015-05-06,MSFT,46.279999
2015-05-07,MSFT,46.700001
2015-05-07,AAPL,125.260002
2015-05-07,FB,78.43
2015-05-07,GOOGL,542.039978
2015-05-07,AMZN,426.880005
2015-05-08,AAPL,127.620003
2015-05-08,FB,78.510002
2015-05-08,AMZN,433.690002
2015-05-08,MSFT,47.75
2015-05-08,GOOGL,548.950012
2015-05-11,FB,78.010002
2015-05-11,GOOGL,545.780029
2015-05-11,AMZN,432.850006
2015-05-11,AAPL,126.32
2015-05-11,MSFT,47.369999
2015-05-12,AMZN,431.019989
2015-05-12,AAPL,125.870003
2015-05-12,GOOGL,538.72998
2015-05-12,MSFT,47.349998
2015-05-12,FB,77.459999
2015-05-13,AMZN,426.869995
2015-05-13,MSFT,47.630001
2015-05-13,FB,78.440002
2015-05-13,AAPL,126.010002
2015-05-13,GOOGL,539.48999
2015-05-14,AMZN,432.279999
2015-05-14,GOOGL,549.200012
2015-05-14,FB,81.370003
2015-05-14,AAPL,128.949997
2015-05-14,MSFT,48.720001
2015-05-15,GOOGL,546.48999
2015-05-15,AAPL,128.770004
2015-05-15,FB,80.41999799999998
2015-05-15,AMZN,426.0
2015-05-15,MSFT,48.299999
2015-05-18,MSFT,48.009998
2015-05-18,GOOGL,546.669983
2015-05-18,FB,80.879997
2015-05-18,AMZN,425.23999
2015-05-18,AAPL,130.190002
2015-05-19,FB,80.629997
2015-05-19,MSFT,47.580002
2015-05-19,AAPL,130.070007
2015-05-19,AMZN,421.709991
2015-05-19,GOOGL,549.280029
2015-05-20,GOOGL,552.51001
2015-05-20,MSFT,47.580002
2015-05-20,AAPL,130.059998
2015-05-20,AMZN,423.859985
2015-05-20,FB,80.550003
2015-05-21,GOOGL,556.8099980000002
2015-05-21,MSFT,47.419998
2015-05-21,AMZN,431.630005
2015-05-21,AAPL,131.389999
2015-05-21,FB,80.480003
2015-05-22,MSFT,46.900002
2015-05-22,AMZN,427.630005
2015-05-22,FB,80.540001
2015-05-22,AAPL,132.53999299999998
2015-05-22,GOOGL,554.52002
2015-05-26,AMZN,425.470001
2015-05-26,FB,79.33000200000002
2015-05-26,AAPL,129.619995
2015-05-26,GOOGL,547.1900019999998
2015-05-26,MSFT,46.59
2015-05-27,FB,80.550003
2015-05-27,AAPL,132.03999299999998
2015-05-27,AMZN,431.420013
2015-05-27,MSFT,47.610001
2015-05-27,GOOGL,554.25
2015-05-28,MSFT,47.450001
2015-05-28,AMZN,426.570007
2015-05-28,AAPL,131.779999
2015-05-28,FB,80.150002
2015-05-28,GOOGL,554.179993
2015-05-29,MSFT,46.860001
2015-05-29,AMZN,429.2300110000001
2015-05-29,GOOGL,545.320007
2015-05-29,FB,79.190002
2015-05-29,AAPL,130.279999
2015-06-01,GOOGL,549.210022
2015-06-01,MSFT,47.23
2015-06-01,FB,80.290001
2015-06-01,AMZN,430.920013
2015-06-01,AAPL,130.53999299999998
2015-06-02,GOOGL,553.950012
2015-06-02,FB,80.440002
2015-06-02,AMZN,430.98999
2015-06-02,MSFT,46.919998
2015-06-02,AAPL,129.96000700000002
2015-06-03,GOOGL,555.289978
2015-06-03,AAPL,130.119995
2015-06-03,FB,82.440002
2015-06-03,AMZN,436.589996
2015-06-03,MSFT,46.849998
2015-06-04,GOOGL,551.6900019999998
2015-06-04,AAPL,129.360001
2015-06-04,MSFT,46.360001
2015-06-04,FB,82.050003
2015-06-04,AMZN,430.779999
2015-06-05,AMZN,426.950012
2015-06-05,GOOGL,549.530029
2015-06-05,MSFT,46.139999
2015-06-05,FB,82.139999
2015-06-05,AAPL,128.649994
2015-06-08,GOOGL,543.47998
2015-06-08,MSFT,45.73
2015-06-08,AAPL,127.800003
2015-06-08,AMZN,423.5
2015-06-08,FB,80.66999799999998
2015-06-09,AAPL,127.419998
2015-06-09,AMZN,425.4800110000001
2015-06-09,GOOGL,542.159973
2015-06-09,FB,80.66999799999998
2015-06-09,MSFT,45.650002
2015-06-10,AMZN,430.769989
2015-06-10,GOOGL,552.599976
2015-06-10,FB,82.160004
2015-06-10,AAPL,128.880005
2015-06-10,MSFT,46.610001
2015-06-11,MSFT,46.439999
2015-06-11,AMZN,432.970001
2015-06-11,FB,81.83000200000002
2015-06-11,GOOGL,550.039978
2015-06-11,AAPL,128.589996
2015-06-12,FB,81.529999
2015-06-12,MSFT,45.970001
2015-06-12,GOOGL,547.469971
2015-06-12,AAPL,127.169998
2015-06-12,AMZN,429.920013
2015-06-15,FB,80.709999
2015-06-15,MSFT,45.48
2015-06-15,AMZN,423.670013
2015-06-15,AAPL,126.919998
2015-06-15,GOOGL,543.0
2015-06-16,AMZN,427.26001
2015-06-16,MSFT,45.830002
2015-06-16,AAPL,127.599998
2015-06-16,GOOGL,544.869995
2015-06-16,FB,81.059998
2015-06-17,AAPL,127.300003
2015-06-17,MSFT,45.970001
2015-06-17,GOOGL,546.599976
2015-06-17,AMZN,427.80999800000006
2015-06-17,FB,81.790001
2015-06-18,FB,82.910004
2015-06-18,GOOGL,556.179993
2015-06-18,AAPL,127.879997
2015-06-18,AMZN,439.39001500000006
2015-06-18,MSFT,46.720001
2015-06-19,FB,82.510002
2015-06-19,GOOGL,557.52002
2015-06-19,MSFT,46.099998
2015-06-19,AAPL,126.599998
2015-06-19,AMZN,434.920013
2015-06-22,GOOGL,559.679993
2015-06-22,AMZN,436.290009
2015-06-22,MSFT,46.23
2015-06-22,FB,84.739998
2015-06-22,AAPL,127.610001
2015-06-23,GOOGL,563.3900150000002
2015-06-23,MSFT,45.91
2015-06-23,AAPL,127.029999
2015-06-23,AMZN,445.98999
2015-06-23,FB,87.879997
2015-06-24,FB,88.860001
2015-06-24,AMZN,440.839996
2015-06-24,GOOGL,558.570007
2015-06-24,AAPL,128.110001
2015-06-24,MSFT,45.639999
2015-06-25,MSFT,45.650002
2015-06-25,AAPL,127.5
2015-06-25,AMZN,440.100006
2015-06-25,FB,87.980003
2015-06-25,GOOGL,557.950012
2015-06-26,AAPL,126.75
2015-06-26,FB,88.010002
2015-06-26,GOOGL,553.0599980000002
2015-06-26,MSFT,45.259998
2015-06-26,AMZN,438.100006
2015-06-29,AMZN,429.859985
2015-06-29,FB,85.800003
2015-06-29,MSFT,44.369999
2015-06-29,GOOGL,541.25
2015-06-29,AAPL,124.529999
2015-06-30,MSFT,44.150002
2015-06-30,GOOGL,540.039978
2015-06-30,AAPL,125.43
2015-06-30,FB,85.769997
2015-06-30,AMZN,434.089996
2015-07-01,AAPL,126.599998
2015-07-01,MSFT,44.450001
2015-07-01,FB,86.910004
2015-07-01,AMZN,437.39001500000006
2015-07-01,GOOGL,543.299988
2015-07-02,AAPL,126.440002
2015-07-02,AMZN,437.709991
2015-07-02,GOOGL,547.340027
2015-07-02,FB,87.290001
2015-07-02,MSFT,44.400002
2015-07-06,AAPL,126.0
2015-07-06,AMZN,436.040009
