Username,Text
Karmatical,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
Jana1976,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she�s not well "
AmyJade,didn't get shit done today ~ i'm so screwed 
tantrixie,wanttss to go out 
supersharayah,Is not going to sleep tonite. 
bluepaintred,too worried and tired to post tonight 
AmyJade,couldn't get shit done today ~ i'm so screwed 
bovinemammal,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep "
jessejoseph,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*("
lennytoups,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now
paulverhoeven,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. "
Britty88,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! 
stephaniekmusic,i hate to see the spartans so sad 
Jemimus,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot 
Sweetpineapple,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!"
Artiel87,@mandayyy 
treehugger25,@twista202 I think I want to read some books but the library doesn't have them 
Mirlina,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...
g_rose86,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. 
omgseriouslywtf,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.
DjGundam,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 
stacyc37,sad that the 'feet' of my macbook just fell off 
Alp0,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad 
TheDCD,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  "
DrewKatavich,"Has now gotten somebody to read his tweets, but cant get them to make an account. "
tinyvamp,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:
MTLarson1224,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me 
vcf2,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha
thinkingmama,@breadandbadger Congrats!!  i totally forgot to submit photos 
Cherye101,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
nataleyritter,@imaginarypeach now your leaving me  .... -gets sad-
ciairuhh,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. "
sarahdesjardins,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED 
larsgunnarf,Tuesday�ll start with reflection �n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers 
Lvonhusen,What tragedy and disaster in the news this week 
TimelessAKA,yes yes still trying to find a picture that will upload correclty.. 
jinnah,Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
edsed,I still can't find my keys. 
admdrw,@charlietm I know right. I dunno what is going on with twitter. 
Loreinski,might be getting a sore throat again 
OhShayLaVie,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!
dossy,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  
bigwillthechamp,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd 
MalloryLe,is in the bathroom... wake up lakin. 
courtosullivan,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3
Augustina22CA,"im lonely  keep me company! 22 female, california"
sdcoyle,bad day at the betfair office 
omgitsjo,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!
catrienmaxwell,I'm really cold. I don't want to go to sleep yet but there's nothing to do 
nicci718,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! 
meganminesinger,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken
nicole___,@miss_om Aww  I know I felt like that yesterday at work 
JBarrick,@SarahReedSC treaty isn't defined 
gregcronin,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
Lisaherrity,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx
princessseli,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts
Artiel87,@mandayyy   
jasminpatry,New video card is DOA. 
saraguilford12,"feeling lost, naked and confused (JK, sort of).....no iphone for me. "
realin,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work "
gregcronin,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;
Steponme2418,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah
benboarder,has lost his ring. It's no-where to be seen 
SupernovaGirl,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY."
latoyanlegania,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick 
taspence,Is fucked to go back to IC 
lizzzzlemon,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. 
russbaker,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can
hypnoticzexy,@kissability Me too I is poor 
debbieseraphina,help me forget 8th april &amp; 13th july! 
tshamysboo,"dierks bentley is comin' to columbus, OH!! i wanna go so bad "
husqvarna,i have to take my sidekick back. 
VirtueIMC,@chriscantore congrats! I'm totally jealous! only wish my XM was working 
godzgurl,gr8t my face is very itchy 
dancingmanikin,poor socks  luvvvvv the golden retriever!! I want one sighhhh
iggyp,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible 
sarochka,Aaaaand the nausea is back. 
flowerlilly,@DonnieWahlberg ooh I�m excited and not even going 2 be there  long love YOUTUBE!
themangoman,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..
marybacchus,@mathewsmichael  i agree... the jobros dont update theres very often 
bliumchik,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link 
finnsig,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  )
iCalvin,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!"
sammysokol,@bostongarden I miss bentley 
JWard86,seriously needs to finish these job applications 
dgvirtual,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids"
ForzaRagazza,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. 
jasminedesiree,@huntermoore I don't want him to ever punch me.  
kortt,sooo sick of the snow  ughh
__Susan__,@ITS_NEMESIS ------- 
aoski,@LoveMeagan it doesn't work your fan is upset 
wcarss,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. 
drtaru,@zaydia but i cant figure out how to get there / back / pay for a hotel etc 
mumu1210,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN "
nyracat,feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.
Stereo_Skyline,@ThaStevieG but what I really want is my old bass back 
veelishus,Mad tired today... Callin it in early tonight  nighty night twittas
usagiko,"@LevenRambin: Take it easy, and be good to you. "
weisenly,I'm afraid I had bad code. 
ChrisJNewman,Think I'm going to bed. Goodniight. I hate this 
stefanip,"@riancurtis  i'm here, friend, and i love you."
luannem,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??
krissivee,@aaronrva is in the bathroom and i have to pee!    
Angela004,@ashleyskyy but I wanted a margarita too! 
Nrose09,@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!
jennhelvering,Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good 
FeedMeTrance,"has 0g of milky bar left, and around 200ml of coke "
BATMANNN,@jokerrrr It stillllll hasn't arrived 
MorganWillis,"Mraow, I feel like dancing, but first art school wants to rape me some more. "
AUSTINMONIQUE,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time 
Arneenxx,Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back 
elamparuthi,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.
Ps8612,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/"
ARExistence,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!"
dEnNy_333,Just watched tropic thunder. Dreading tomorrow 
Tuhtsqueen,@qweendassah no...he's still miss'n... 
karlcswanson,ChiefDelphi is down 
sarawang,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)"
voguea,playing game at home! my new boss didn't call me yet... 
SPYSG,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t
colorful_kelsey,Poor Joshy is sick???   those damn tejanos!
hotrodlopez,My thoughts are with Sandra Cantu's family at this difficult and sad time 
wandafay,"@FranzGlaus I know, just wanted to let everybody know what was happening  "
TiM_Cunningham,Michigan who?  I don't know them.                   *sigh*   Shameful!
cday88,i have to fill two hours 
lisha_e,"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday "
Tanja71,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office 
dreaaa,throat is closing up and i had some string cheese. not a good idea 
jenners101,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family."
Fudgey84,wishing i was home underneath my covers 
tilleywilly,walking home from school drains all my energy 
otherbella,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!"
JamieMphoto,@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?
ylajennytambien,I wish I was better at writing. It's taking me so long to write this paper. 
abean2007,..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... 
IncomeDiscovery,"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project."
MissPassion,@thecoolestout Ha the sun's already gone 
sprtsgrl04,day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. 
RedTheTrucker,My man crush Jake Peavy let me down  #gayforpeavy
larabehnert,"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail "
summerseelye,michigan state you make me sad 
chimshar,omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.
algaebiofuels,getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs
EricaLeigh777,@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. 
hellostaci,@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. 
alohasassy,just got home from watching Michigan State get tromped!   
diet_lard,"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt;_&lt; i'm not finishing tonight, it's not possible...my bones ache "
aeoth,"@griffmiester no exchanging for me, my laptop hasn't arrived "
nicolegreen,@hyperbets i hope this doesn't last too long.  i feel miserable!
jcphoto,@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...
Kevin_Lately,@TheLeagueSF Not Fun &amp; Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctious;the city overreacted &amp; clamped down 
suze2000,@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!
paulmoreton1978,"I swear no matter how long I've been getting up at 5am, it never gets any easier. Man my eyes hurts wah "
Day_Zee,@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week 
AnimePlanet,"@otakusecret my reaction too  whoa, didn't see that coming"
oup,"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! "
aileen2u2,"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry "
remzology,@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. 
abean2007,Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it 
Sheezy3380,New Testament Test at 9:30 am   
edlimagno,@ScoutBuck tons no hay Troll? ahhhh 
tracious,stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! 
Mowgli3,"http://twitpic.com/2y2yi - I love you, Buck. "
cescajo,last one!!! but still not done!!! 
brookes4402,homework.... 
SullieSullivan,I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby 
LaurelieSunny,Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots 
bonerjamz,@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?
jiriteach,"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and "
gildardomunoz,"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!"
Arneenxx,@Sara_Kate Im afraid too  ( ur reply about uni from ages ago
thegeach,feeling down 
